timestamp,value
21631.16941201687,0
41628.68954396248,0
61625.148654937744,0
81622.14498400688,0
101629.57559096813,1.86
121629.86015093327,2.544
141634.66021597385,2.601
161638.61396300793,2.696
181639.50489401817,2.639
201650.75089502335,2.544
221642.76965999603,2.563
241675.262575984,2.582
261651.5938910246,2.677
281680.6072869301,2.715
301670.1780170202,2.658
321669.87737596035,2.639
341681.3988599777,2.753
361681.6500580311,2.734
381689.5056049824,2.753
401694.1417570114,2.753
421703.3194090128,2.639
441732.1014569998,2.62
461713.9827979803,2.734
481723.64830100536,2.677
501721.4318460226,2.715
521733.0153169632,2.677
541732.0688419342,2.81
561744.3794989586,2.639
581750.1267979145,2.791
601821.1134200096,2.715
621753.6669379473,2.696
641752.1919939518,2.715
661767.8779739141,2.677
681776.927857995,2.62
701786.1818180084,2.715
721782.6286389828,2.62
741796.4572259188,2.696
761804.6865279675,2.715
781815.3969630003,2.715
801812.1405259371,2.734
821818.4427880049,2.677
841833.3684350252,2.715
861835.0193829536,2.696
881846.5468429327,2.658
901854.282509923,2.639
921848.0551760197,2.734
941873.5872960091,2.734
961866.3742909431,2.677
981867.796317935,1.898
1001909.463662982,1.196
1021889.5526909828,1.234
1041890.3319180012,2.449
1061897.6720030308,2.601
1081897.642404914,2.677
1101900.322709918,2.601
1121901.181671977,2.62
1141922.6579539776,2.639
1161917.9970380068,2.582
1181908.3307750225,2.164
1201938.505746007,2.582
1221950.1393059492,2.563
1241948.1849669218,2.335
1261950.822394967,2.601
1281960.0283299685,2.639
1301962.6070970297,2.696
1321972.3750059605,2.487
1341971.8952319622,2.639
1361977.2886259556,2.658
1381979.5866719484,2.639
1402000.1475429535,2.601
1421994.0197199583,2.582
1442000.2552429438,2.696
1461998.7874609232,2.639
1482008.807163,2.525
1502020.7133909464,2.468
1522026.6630129814,2.563
1542029.0877159834,2.506
1562040.8531190157,2.544
1582042.7668969631,2.544
1602049.9347749949,2.468
1622059.0718339682,2.392
1642074.8598649502,2.373
1662070.6095799208,2.411
1682073.886826992,2.43
1702104.1153259277,2.373
1722079.9919569492,2.373
1742100.2510899305,2.164
1762100.9887099266,2.259
1782115.7615380287,2.24
1802114.323619008,2.24
1822122.177820921,2.183
1842121.6489659548,2.183
1862134.8566479683,2.088
1882138.612694025,2.126
1902135.036767006,2.164
1922156.4396139383,2.107
1942160.9329680204,2.126
1962160.7548009157,2.221
1982167.8875329494,2.126
2002177.0528290272,2.107
2022158.112300992,2.069
2042183.1650999784,1.936
2062196.8179119825,2.069
2082195.0966880322,2.05
2102207.649480939,2.031
2122219.164626956,2.031
2142218.6518030167,1.936
2162213.971917987,1.955
2182214.0785980225,1.917
2202213.1168450117,1.974
2222226.3709049225,1.955
2242234.3961520195,2.012
2262236.163380027,1.898
2282247.379909992,1.955
2302245.7685170174,1.974
2322248.481697917,1.955
2342262.8752459288,1.917
2362268.3512619734,1.993
2382266.807330966,1.955
2402280.4459500313,1.955
2422300.879346013,1.917
2442273.063656926,1.974
2462295.9436489344,2.677
2482293.730381012,2.544
2502307.9475779533,2.487
2522318.2748559713,2.601
2542321.353271961,2.335
2562326.9482729435,2.335
2582340.9419379234,2.316
2602335.0931060314,2.354
2622356.5306550264,2.354
2642353.1575340033,2.259
